#options: 1000x570 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=290 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:132 out:129 type:P dur:2 cpbdur:2 q:43.30 aq:34.34 tex:6245 mv:2795 misc:1096 imb:429 pmb:200 smb:1639 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:43.31 aq:44.00 tex:27 mv:152 misc:573 imb:0 pmb:172 smb:2096 d:s ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:43.31 aq:33.99 tex:77 mv:221 misc:574 imb:3 pmb:165 smb:2100 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:43.31 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:42.92 aq:29.69 tex:186 mv:79 misc:255 imb:8 pmb:4 smb:2256 d:s ref:0 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:43.11 aq:44.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:133 out:135 type:b dur:2 cpbdur:2 q:43.21 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:43.01 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:140 out:137 type:P dur:2 cpbdur:2 q:42.47 aq:35.65 tex:1119 mv:1168 misc:897 imb:150 pmb:121 smb:1997 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:42.70 aq:44.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:42.81 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:42.59 aq:45.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:42.24 aq:34.07 tex:31379 mv:5531 misc:770 imb:1170 pmb:84 smb:1014 d:s ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:42.36 aq:30.65 tex:379 mv:915 misc:746 imb:37 pmb:183 smb:2048 d:s ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:42.42 aq:45.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:42.30 aq:36.64 tex:1988 mv:2011 misc:1001 imb:75 pmb:308 smb:1885 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:42.81 aq:35.52 tex:29482 mv:5153 misc:949 imb:899 pmb:90 smb:1279 d:s ref:0 ;
in:147 out:146 type:P dur:2 cpbdur:2 q:43.21 aq:32.34 tex:36078 mv:5806 misc:724 imb:1301 pmb:71 smb:896 d:s ref:0 ;
in:146 out:147 type:b dur:2 cpbdur:2 q:43.01 aq:34.61 tex:368 mv:370 misc:518 imb:13 pmb:125 smb:2130 d:s ref:0 ;
in:148 out:148 type:P dur:2 cpbdur:2 q:43.20 aq:29.60 tex:14114 mv:2020 misc:842 imb:230 pmb:151 smb:1887 d:s ref:0 ;
in:152 out:149 type:P dur:2 cpbdur:2 q:43.19 aq:32.57 tex:3661 mv:1882 misc:929 imb:403 pmb:150 smb:1715 d:s ref:0 ;
in:150 out:150 type:B dur:2 cpbdur:2 q:43.19 aq:30.94 tex:42 mv:119 misc:415 imb:1 pmb:109 smb:2158 d:s ref:0 ;
in:149 out:151 type:b dur:2 cpbdur:2 q:43.20 aq:32.18 tex:63 mv:289 misc:416 imb:11 pmb:110 smb:2147 d:s ref:0 ;
in:151 out:152 type:b dur:2 cpbdur:2 q:43.19 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
